date,amount,index
2009/10/7,81431,646
2009/10/8,81389,647
2009/10/9,79283,648
2009/10/10,72557,649
2009/10/11,67629,650
2009/10/12,70596,651
2009/10/13,78735,652
2009/10/14,79490,653
2009/10/15,79241,654
2009/10/16,78876,655
2009/10/17,73626,656
2009/10/18,68502,657
2009/10/19,77534,658
2009/10/20,80254,659
2009/10/21,80078,660
2009/10/22,79589,661
2009/10/23,78749,662
2009/10/24,73365,663
2009/10/25,70170,664
2009/10/26,81327,665
2009/10/27,79615,666
2009/10/28,79377,667
2009/10/29,79829,668
2009/10/30,79822,669
2009/10/31,73814,670
2009/11/1,69288,671
2009/11/2,79430,672
2009/11/3,78394,673
2009/11/4,83183,674
2009/11/5,83978,675
2009/11/6,81998,676
2009/11/7,75391,677
2009/11/8,70072,678
2009/11/9,79413,679
2009/11/10,81160,680
2009/11/11,83553,681
2009/11/12,84132,682
2009/11/13,86350,683
2009/11/14,77677,684
2009/11/15,69968,685
2009/11/16,81610,686
2009/11/17,89052,687
2009/11/18,86837,688
2009/11/19,93396,689
2009/11/20,88461,690
2009/11/21,79374,691
2009/11/22,80053,692
2009/11/23,78861,693
2009/11/24,88030,694
2009/11/25,86400,695
2009/11/26,83986,696
2009/11/27,84034,697
2009/11/28,78155,698
2009/11/29,75230,699
2009/11/30,88060,700
2009/12/1,87392,701
2009/12/2,87602,702
2009/12/3,92500,703
2009/12/4,87015,704
2009/12/5,84094,705
2009/12/6,75328,706
2009/12/7,88082,707
2009/12/8,90784,708
2009/12/9,91999,709
2009/12/10,88803,710
2009/12/11,94702,711
2009/12/12,79602,712
2009/12/13,77209,713
2009/12/14,90019,714
2009/12/15,94147,715
2009/12/16,97493,716
2009/12/17,95443,717
2009/12/18,96413,718
2009/12/19,89852,719
2009/12/20,84492,720
2009/12/21,96369,721
2009/12/22,98102,722
2009/12/23,90886,723
2009/12/24,92218,724
2009/12/25,89479,725
2009/12/26,83071,726
2009/12/27,77196,727
2009/12/28,80649,728
2009/12/29,78550,729
2009/12/30,73676,730
2009/12/31,72151,731
2010/1/1,69586,732
2010/1/2,69263,733
2010/1/3,72477,734
2010/1/4,81794,735
2010/1/5,87758,736
2010/1/6,94100,737
2010/1/7,95648,738
2010/1/8,94934,739
2010/1/9,87710,740
2010/1/10,81688,741
2010/1/11,90372,742
2010/1/12,103162,743
2010/1/13,100333,744
2010/1/14,102544,745
2010/1/15,101468,746
2010/1/16,93835,747
2010/1/17,87424,748
2010/1/18,99153,749
2010/1/19,96575,750
2010/1/20,92166,751
2010/1/21,90288,752
2010/1/22,94878,753
2010/1/23,87515,754
2010/1/24,82577,755
2010/1/25,93350,756
2010/1/26,95753,757
2010/1/27,96214,758
2010/1/28,92875,759
2010/1/29,91605,760
2010/1/30,83285,761
2010/1/31,78375,762
2010/2/1,96627,763
2010/2/2,102231,764
2010/2/3,100662,765
2010/2/4,102380,766
2010/2/5,99550,767
2010/2/6,92963,768
2010/2/7,86376,769
2010/2/8,96442,770
2010/2/9,90728,771
2010/2/10,93690,772
2010/2/11,95347,773
2010/2/12,103001,774
2010/2/13,97057,775
2010/2/14,86984,776
2010/2/15,101190,777
2010/2/16,104146,778
2010/2/17,105189,779
2010/2/18,104068,780
2010/2/19,100342,781
2010/2/20,87934,782
2010/2/21,83762,783
2010/2/22,95416,784
2010/2/23,91886,785
2010/2/24,87581,786
2010/2/25,85432,787
2010/2/26,83998,788
2010/2/27,78104,789
2010/2/28,79957,790
2010/3/1,88552,791
2010/3/2,96701,792
2010/3/3,90718,793
2010/3/4,93890,794
2010/3/5,85214,795
2010/3/6,80072,796
2010/3/7,82748,797
2010/3/8,93906,798
2010/3/9,102633,799
2010/3/10,99317,800
2010/3/11,92981,801
2010/3/12,89935,802
2010/3/13,77620,803
2010/3/14,73288,804
2010/3/15,84198,805
2010/3/16,82280,806
2010/3/17,86608,807
2010/3/18,86867,808
2010/3/19,86963,809
2010/3/20,76327,810
2010/3/21,69965,811
2010/3/22,76447,812
2010/3/23,84515,813
2010/3/24,92750,814
2010/3/25,97613,815
2010/3/26,90995,816
2010/3/27,82873,817
2010/3/28,81269,818
2010/3/29,94527,819
2010/3/30,93492,820
2010/3/31,90121,821
2010/4/1,84845,822
2010/4/2,83585,823
2010/4/3,77317,824
2010/4/4,76523,825
2010/4/5,89536,826
2010/4/6,82652,827
2010/4/7,86813,828
2010/4/8,86321,829
2010/4/9,85402,830
2010/4/10,75646,831
2010/4/11,70103,832
2010/4/12,88205,833
2010/4/13,82384,834
2010/4/14,81540,835
2010/4/15,91790,836
2010/4/16,96403,837
2010/4/17,87407,838
2010/4/18,74154,839
2010/4/19,81076,840
2010/4/20,83339,841
2010/4/21,81078,842
2010/4/22,89266,843
2010/4/23,90566,844
2010/4/24,78673,845
2010/4/25,71917,846
2010/4/26,79593,847
2010/4/27,84469,848
2010/4/28,83522,849
2010/4/29,72533,850
2010/4/30,74882,851
2010/5/1,67882,852
2010/5/2,63577,853
2010/5/3,63447,854
2010/5/4,64348,855
2010/5/5,67024,856
2010/5/6,77585,857
2010/5/7,79496,858
2010/5/8,73655,859
2010/5/9,67736,860
2010/5/10,77346,861
2010/5/11,80675,862
2010/5/12,79229,863
2010/5/13,78710,864
2010/5/14,78831,865
2010/5/15,72259,866
2010/5/16,67429,867
2010/5/17,78892,868
2010/5/18,81189,869
2010/5/19,81044,870
2010/5/20,82577,871
2010/5/21,83859,872
2010/5/22,76227,873
2010/5/23,70107,874
2010/5/24,79991,875
2010/5/25,82588,876
2010/5/26,81015,877
2010/5/27,80314,878
2010/5/28,79342,879
2010/5/29,73287,880
2010/5/30,68139,881
2010/5/31,77032,882
2010/6/1,78838,883
2010/6/2,79502,884
2010/6/3,80916,885
2010/6/4,81824,886
2010/6/5,73915,887
2010/6/6,69505,888
2010/6/7,81998,889
2010/6/8,82427,890
2010/6/9,81688,891
2010/6/10,84055,892
2010/6/11,84110,893
2010/6/12,79568,894
2010/6/13,72679,895
2010/6/14,81033,896
2010/6/15,86440,897
2010/6/16,91338,898
2010/6/17,92743,899
2010/6/18,91525,900
2010/6/19,83577,901
2010/6/20,78914,902
2010/6/21,91068,903
2010/6/22,94554,904
2010/6/23,90960,905
2010/6/24,89776,906
2010/6/25,92513,907
2010/6/26,85053,908
2010/6/27,81523,909
2010/6/28,98494,910
2010/6/29,97786,911
2010/6/30,93690,912
2010/7/1,96062,913
2010/7/2,95245,914
2010/7/3,85537,915
2010/7/4,84558,916
2010/7/5,96843,917
2010/7/6,98961,918
2010/7/7,95022,919
2010/7/8,97234,920
2010/7/9,93723,921
2010/7/10,86011,922
2010/7/11,81763,923
2010/7/12,94490,924
2010/7/13,90074,925
2010/7/14,92574,926
2010/7/15,97334,927
2010/7/16,100895,928
2010/7/17,91672,929
2010/7/18,87832,930
2010/7/19,95850,931
2010/7/20,109475,932
2010/7/21,113250,933
2010/7/22,113854,934
2010/7/23,114182,935
2010/7/24,103161,936
2010/7/25,94687,937
2010/7/26,103780,938
2010/7/27,107335,939
2010/7/28,107282,940
2010/7/29,96216,941
2010/7/30,98298,942
2010/7/31,95534,943
2010/8/1,95057,944
2010/8/2,105134,945
2010/8/3,108042,946
2010/8/4,109307,947
2010/8/5,111336,948
2010/8/6,108092,949
2010/8/7,95124,950
2010/8/8,90088,951
2010/8/9,93124,952
2010/8/10,96667,953
2010/8/11,97586,954
2010/8/12,91113,955
2010/8/13,87282,956
2010/8/14,83995,957
2010/8/15,90679,958
2010/8/16,106104,959
2010/8/17,112096,960
2010/8/18,111047,961
2010/8/19,105576,962
2010/8/20,100490,963
2010/8/21,95015,964
2010/8/22,94436,965
2010/8/23,109980,966
2010/8/24,111354,967
2010/8/25,110686,968
2010/8/26,110854,969
2010/8/27,110203,970
2010/8/28,100123,971
2010/8/29,95939,972
2010/8/30,109724,973
2010/8/31,112887,974
2010/9/1,112292,975
2010/9/2,111224,976
2010/9/3,111824,977
2010/9/4,102087,978
2010/9/5,97125,979
2010/9/6,110745,980
2010/9/7,111975,981
2010/9/8,98614,982
2010/9/9,92377,983
2010/9/10,94513,984
2010/9/11,93892,985
2010/9/12,90168,986
2010/9/13,103392,987
2010/9/14,97652,988
2010/9/15,87780,989
2010/9/16,85814,990
2010/9/17,88253,991
2010/9/18,81916,992
2010/9/19,79132,993
2010/9/20,83539,994
2010/9/21,97195,995
2010/9/22,102180,996
2010/9/23,82235,997
2010/9/24,79464,998
2010/9/25,72600,999
2010/9/26,68618,1000
2010/9/27,78328,1001
2010/9/28,81466,1002
2010/9/29,80196,1003
2010/9/30,80446,1004
2010/10/1,80202,1005
2010/10/2,74171,1006
2010/10/3,69685,1007
2010/10/4,80497,1008
2010/10/5,82832,1009
2010/10/6,82216,1010
2010/10/7,81948,1011
2010/10/8,81528,1012
2010/10/9,75634,1013
2010/10/10,71121,1014
2010/10/11,74077,1015
2010/10/12,82210,1016
2010/10/13,84339,1017
2010/10/14,82739,1018
2010/10/15,82055,1019
2010/10/16,75415,1020
2010/10/17,69491,1021
2010/10/18,77715,1022
2010/10/19,79511,1023
2010/10/20,80454,1024
2010/10/21,81226,1025
2010/10/22,79441,1026
2010/10/23,72618,1027
